iter	Passed	Remaining
462	770	893
463	772	891
464	773	889
465	774	887
466	775	884
467	776	882
468	777	880
469	779	878
470	780	876
471	782	875
472	784	873
473	784	870
474	785	868
475	787	866
476	788	864
477	789	862
478	790	859
479	791	857
480	793	855
481	794	854
482	796	852
483	798	851
484	799	848
485	800	846
486	801	844
487	803	842
488	804	840
489	805	838
490	806	836
491	808	834
492	809	832
493	811	831
494	812	829
495	814	827
496	816	826
497	818	824
498	819	822
499	820	820
500	821	818
501	823	816
502	825	815
503	826	813
504	827	811
505	828	809
506	830	807
507	832	806
508	833	804
509	834	801
510	835	799
511	837	797
512	839	796
513	840	794
514	841	792
515	842	790
516	844	788
517	845	786
518	846	784
519	848	783
520	849	781
521	851	779
522	852	777
523	854	775
524	855	773
525	856	771
526	857	769
527	858	767
528	860	766
529	862	764
530	863	762
531	864	760
532	866	758
533	867	757
534	869	755
535	870	753
536	872	751
537	873	750
538	875	748
539	876	746
540	878	745
541	879	743
542	880	741
543	882	739
544	884	738
545	884	735
546	885	733
547	887	732
548	889	730
549	890	728
550	892	727
551	894	725
552	895	723
553	897	722
554	898	720
555	899	717
556	900	715
557	901	714
558	903	712
559	904	710
560	906	709
561	907	707
562	909	705
563	910	703
564	911	701
565	912	699
566	912	697
567	914	695
568	916	693
569	917	692
570	919	690
571	920	689
572	922	687
573	924	685
574	925	683
575	926	681
576	926	679
577	927	677
578	928	674
579	929	673
580	931	671
581	933	670
582	934	668
583	936	666
584	937	665
585	939	663
586	940	661
587	941	659
588	942	657
589	943	655
590	944	653
591	945	651
592	946	649
593	947	647
594	949	646
595	951	644
596	952	642
597	953	640
598	954	638
599	954	636
600	955	634
601	956	632
602	957	630
603	958	628
604	958	626
605	959	623
606	960	622
607	962	620
608	963	618
609	964	616
610	965	614
611	966	613
612	967	611
613	968	608
614	969	607
615	971	605
616	972	603
617	974	602
618	975	600
619	977	599
620	978	597
621	979	595
622	980	593
623	980	591
624	981	589
625	982	587
626	983	585
627	984	582
628	984	580
629	986	579
630	986	577
631	987	575
632	988	573
633	990	571
634	991	570
635	992	568
636	993	566
637	994	564
638	996	562
639	997	561
640	999	559
641	1000	557
642	1001	555
643	1002	554
644	1003	552
645	1004	550
646	1006	548
647	1006	546
648	1007	544
649	1008	543
650	1010	541
651	1011	540
652	1013	538
653	1014	536
654	1015	534
655	1016	533
656	1017	531
657	1018	529
658	1020	527
659	1021	526
660	1022	524
661	1024	522
662	1025	521
663	1027	519
664	1028	518
665	1029	516
666	1030	514
667	1031	512
668	1033	511
669	1035	509
670	1036	507
671	1036	506
672	1037	504
673	1038	502
674	1039	500
675	1041	499
676	1042	497
677	1044	496
678	1045	494
679	1045	492
680	1047	490
681	1048	489
682	1049	487
683	1050	485
684	1051	483
685	1053	482
686	1054	480
687	1056	479
688	1057	477
689	1059	475
690	1060	474
691	1062	472
692	1063	471
693	1064	469
694	1065	467
695	1067	466
696	1068	464
697	1070	463
698	1071	461
699	1073	460
700	1074	458
701	1076	456
702	1076	454
703	1077	453
704	1078	451
705	1079	449
706	1080	447
707	1081	445
708	1082	444
709	1083	442
710	1084	440
711	1085	439
712	1087	437
713	1088	436
714	1089	434
715	1090	432
716	1092	431
717	1093	429
718	1095	428
719	1096	426
720	1098	425
721	1100	423
722	1101	422
723	1103	420
724	1104	419
725	1105	417
726	1106	415
727	1107	413
728	1108	412
729	1109	410
730	1110	408
731	1112	407
732	1113	405
733	1115	404
734	1117	402
735	1118	401
736	1119	399
737	1121	398
738	1122	396
739	1124	395
740	1125	393
741	1127	392
742	1129	390
743	1130	389
744	1132	387
745	1133	385
746	1134	384
747	1134	382
748	1136	380
749	1137	379
750	1139	377
751	1141	376
752	1142	374
753	1144	373
754	1145	371
755	1146	370
756	1147	368
757	1149	366
758	1150	365
759	1150	363
760	1152	361
761	1153	360
762	1155	358
763	1156	357
764	1158	355
765	1160	354
766	1161	352
767	1163	351
768	1164	349
769	1165	348
770	1165	346
771	1166	344
772	1168	343
773	1169	341
774	1171	340
775	1172	338
776	1173	336
777	1175	335
778	1176	333
779	1178	332
780	1179	330
781	1180	329
782	1181	327
783	1182	325
784	1183	324
785	1184	322
786	1184	320
787	1185	318
788	1186	317
789	1187	315
790	1187	313
791	1188	312
792	1188	310
793	1189	308
794	1189	306
795	1190	305
796	1191	303
797	1191	301
798	1191	299
799	1192	298
800	1193	296
801	1193	294
802	1194	293
803	1194	291
804	1195	289
805	1196	287
806	1196	286
807	1197	284
808	1197	282
809	1198	281
810	1198	279
811	1199	277
812	1200	276
813	1200	274
814	1201	272
815	1202	271
816	1202	269
817	1203	267
818	1203	266
819	1204	264
820	1204	262
821	1205	261
822	1205	259
823	1206	257
824	1207	256
825	1207	254
826	1208	252
827	1208	251
828	1209	249
829	1209	247
830	1210	246
831	1211	244
832	1211	242
833	1212	241
834	1212	239
835	1213	238
836	1213	236
837	1214	234
838	1215	233
839	1216	231
840	1216	230
841	1217	228
842	1218	226
843	1218	225
844	1219	223
845	1219	222
846	1220	220
847	1221	218
848	1221	217
849	1222	215
850	1223	214
851	1224	212
852	1224	211
853	1225	209
854	1225	207
855	1226	206
856	1227	204
857	1227	203
858	1228	201
859	1229	200
860	1229	198
861	1230	197
862	1231	195
863	1231	193
864	1232	192
865	1232	190
866	1233	189
867	1233	187
868	1234	186
869	1234	184
870	1235	182
871	1235	181
872	1236	179
873	1237	178
874	1237	176
875	1238	175
876	1239	173
877	1239	172
878	1240	170
879	1240	169
880	1241	167
